features,importance
BURO_DAYS_CREDIT_ENDDATE_sum,8.4
BURO_DAYS_ENDDATE_FACT_mean,5.199999999999999
BURO_DAYS_ENDDATE_FACT_max,18.8
BURO_DAYS_ENDDATE_FACT_min,5.199999999999999
BURO_DAYS_ENDDATE_FACT_count,2.2
BURO_DAYS_ENDDATE_FACT_sum,2.6
BURO_AMT_CREDIT_MAX_OVERDUE_mean,18.599999999999998
BURO_AMT_CREDIT_MAX_OVERDUE_max,10.2
BURO_AMT_CREDIT_MAX_OVERDUE_min,3.4
BURO_AMT_CREDIT_MAX_OVERDUE_count,1.4000000000000001
BURO_AMT_CREDIT_MAX_OVERDUE_sum,11.0
BURO_CNT_CREDIT_PROLONG_mean,0.4
BURO_CNT_CREDIT_PROLONG_max,0.0
BURO_CNT_CREDIT_PROLONG_min,0.0
BURO_CNT_CREDIT_PROLONG_count,0.0
BURO_CNT_CREDIT_PROLONG_sum,0.0
BURO_AMT_CREDIT_SUM_mean,12.600000000000001
BURO_AMT_CREDIT_SUM_max,16.4
BURO_AMT_CREDIT_SUM_min,9.2
BURO_AMT_CREDIT_SUM_count,0.0
BURO_AMT_CREDIT_SUM_sum,15.8
BURO_AMT_CREDIT_SUM_DEBT_mean,29.0
BURO_AMT_CREDIT_SUM_DEBT_max,8.8
BURO_AMT_CREDIT_SUM_DEBT_min,5.799999999999999
BURO_AMT_CREDIT_SUM_DEBT_count,1.6
BURO_AMT_CREDIT_SUM_DEBT_sum,16.200000000000003
BURO_AMT_CREDIT_SUM_LIMIT_mean,7.3999999999999995
BURO_AMT_CREDIT_SUM_LIMIT_max,5.6
BURO_AMT_CREDIT_SUM_LIMIT_min,4.800000000000001
BURO_AMT_CREDIT_SUM_LIMIT_count,4.2
BURO_AMT_CREDIT_SUM_LIMIT_sum,2.0
BURO_AMT_CREDIT_SUM_OVERDUE_mean,6.199999999999999
BURO_AMT_CREDIT_SUM_OVERDUE_max,9.4
BURO_AMT_CREDIT_SUM_OVERDUE_min,0.0
BURO_AMT_CREDIT_SUM_OVERDUE_count,0.0
BURO_AMT_CREDIT_SUM_OVERDUE_sum,2.4000000000000004
BURO_DAYS_CREDIT_UPDATE_mean,5.3999999999999995
BURO_DAYS_CREDIT_UPDATE_max,12.400000000000002
BURO_DAYS_CREDIT_UPDATE_min,3.8
BURO_DAYS_CREDIT_UPDATE_count,0.0
BURO_DAYS_CREDIT_UPDATE_sum,2.6
BURO_AMT_ANNUITY_mean,2.6
BURO_AMT_ANNUITY_max,2.5999999999999996
BURO_AMT_ANNUITY_min,1.6
BURO_AMT_ANNUITY_count,0.6000000000000001
BURO_AMT_ANNUITY_sum,2.0
BURO_BB_MONTHS_BALANCE_mean_mean,1.4000000000000001
BURO_BB_MONTHS_BALANCE_mean_max,1.7999999999999998
BURO_BB_MONTHS_BALANCE_mean_min,3.2
BURO_BB_MONTHS_BALANCE_mean_count,0.8
BURO_BB_MONTHS_BALANCE_mean_sum,1.0
BURO_BB_MONTHS_BALANCE_max_mean,2.8
BURO_BB_MONTHS_BALANCE_max_max,1.4
BURO_BB_MONTHS_BALANCE_max_min,0.6000000000000001
BURO_BB_MONTHS_BALANCE_max_count,0.0
BURO_BB_MONTHS_BALANCE_max_sum,1.0
BURO_BB_MONTHS_BALANCE_min_mean,2.2
BURO_BB_MONTHS_BALANCE_min_max,0.4
BURO_BB_MONTHS_BALANCE_min_min,0.2
BURO_BB_MONTHS_BALANCE_min_count,0.0
BURO_BB_MONTHS_BALANCE_min_sum,0.2
BURO_BB_MONTHS_BALANCE_count_mean,3.6
BURO_BB_MONTHS_BALANCE_count_max,0.8
BURO_BB_MONTHS_BALANCE_count_min,3.4000000000000004
BURO_BB_MONTHS_BALANCE_count_count,0.0
BURO_BB_MONTHS_BALANCE_count_sum,1.4
BURO_BB_MONTHS_BALANCE_sum_mean,2.6
BURO_BB_MONTHS_BALANCE_sum_max,1.4
BURO_BB_MONTHS_BALANCE_sum_min,2.2
BURO_BB_MONTHS_BALANCE_sum_count,0.0
BURO_BB_MONTHS_BALANCE_sum_sum,2.5999999999999996
BURO_BB_STATUS_0_count_mean,0.0
BURO_BB_STATUS_0_count_max,0.0
BURO_BB_STATUS_0_count_min,0.0
BURO_BB_STATUS_0_count_count,0.0
BURO_BB_STATUS_0_count_sum,0.0
BURO_BB_STATUS_0_mean_mean,3.4
BURO_BB_STATUS_0_mean_max,2.0
BURO_BB_STATUS_0_mean_min,2.2
BURO_BB_STATUS_0_mean_count,0.0
BURO_BB_STATUS_0_mean_sum,2.0
BURO_BB_STATUS_1_count_mean,0.0
BURO_BB_STATUS_1_count_max,0.0
BURO_BB_STATUS_1_count_min,0.0
BURO_BB_STATUS_1_count_count,0.0
BURO_BB_STATUS_1_count_sum,0.0
BURO_BB_STATUS_1_mean_mean,4.8
BURO_BB_STATUS_1_mean_max,1.0
BURO_BB_STATUS_1_mean_min,4.0
BURO_BB_STATUS_1_mean_count,0.0
BURO_BB_STATUS_1_mean_sum,2.0000000000000004
BURO_BB_STATUS_2_count_mean,0.0
BURO_BB_STATUS_2_count_max,0.0
BURO_BB_STATUS_2_count_min,0.0
BURO_BB_STATUS_2_count_count,0.0
BURO_BB_STATUS_2_count_sum,0.0
BURO_BB_STATUS_2_mean_mean,0.6000000000000001
BURO_BB_STATUS_2_mean_max,0.0
BURO_BB_STATUS_2_mean_min,0.0
BURO_BB_STATUS_2_mean_count,0.0
BURO_BB_STATUS_2_mean_sum,2.1999999999999997
BURO_BB_STATUS_3_count_mean,0.0
BURO_BB_STATUS_3_count_max,0.0
BURO_BB_STATUS_3_count_min,0.0
BURO_BB_STATUS_3_count_count,0.0
BURO_BB_STATUS_3_count_sum,0.0
BURO_BB_STATUS_3_mean_mean,0.0
BURO_BB_STATUS_3_mean_max,0.0
BURO_BB_STATUS_3_mean_min,0.2
BURO_BB_STATUS_3_mean_count,0.0
BURO_BB_STATUS_3_mean_sum,0.4
BURO_BB_STATUS_4_count_mean,0.0
BURO_BB_STATUS_4_count_max,0.0
BURO_BB_STATUS_4_count_min,0.0
BURO_BB_STATUS_4_count_count,0.0
BURO_BB_STATUS_4_count_sum,0.0
BURO_BB_STATUS_4_mean_mean,0.6000000000000001
BURO_BB_STATUS_4_mean_max,0.0
BURO_BB_STATUS_4_mean_min,0.0
BURO_BB_STATUS_4_mean_count,0.0
BURO_BB_STATUS_4_mean_sum,0.0
BURO_BB_STATUS_5_count_mean,0.0
BURO_BB_STATUS_5_count_max,0.0
BURO_BB_STATUS_5_count_min,0.0
BURO_BB_STATUS_5_count_count,0.0
BURO_BB_STATUS_5_count_sum,0.0
BURO_BB_STATUS_5_mean_mean,0.8
BURO_BB_STATUS_5_mean_max,0.0
BURO_BB_STATUS_5_mean_min,1.0
BURO_BB_STATUS_5_mean_count,0.0
BURO_BB_STATUS_5_mean_sum,0.2
BURO_BB_STATUS_C_count_mean,0.0
BURO_BB_STATUS_C_count_max,0.0
BURO_BB_STATUS_C_count_min,0.0
BURO_BB_STATUS_C_count_count,0.0
BURO_BB_STATUS_C_count_sum,0.0
BURO_BB_STATUS_C_mean_mean,2.0
BURO_BB_STATUS_C_mean_max,1.6
BURO_BB_STATUS_C_mean_min,2.8
BURO_BB_STATUS_C_mean_count,0.0
BURO_BB_STATUS_C_mean_sum,2.8000000000000003
BURO_BB_STATUS_X_count_mean,0.0
BURO_BB_STATUS_X_count_max,0.0
BURO_BB_STATUS_X_count_min,0.0
BURO_BB_STATUS_X_count_count,0.0
BURO_BB_STATUS_X_count_sum,0.0
BURO_BB_STATUS_X_mean_mean,1.6
BURO_BB_STATUS_X_mean_max,0.0
BURO_BB_STATUS_X_mean_min,0.6000000000000001
BURO_BB_STATUS_X_mean_count,0.0
BURO_BB_STATUS_X_mean_sum,1.9999999999999998
BURO_BB_STATUS_nan_count_mean,0.0
BURO_BB_STATUS_nan_count_max,0.0
BURO_BB_STATUS_nan_count_min,0.0
BURO_BB_STATUS_nan_count_count,0.0
BURO_BB_STATUS_nan_count_sum,0.0
BURO_BB_STATUS_nan_mean_mean,0.0
BURO_BB_STATUS_nan_mean_max,0.0
BURO_BB_STATUS_nan_mean_min,0.0
BURO_BB_STATUS_nan_mean_count,0.0
BURO_BB_STATUS_nan_mean_sum,0.0
BURO_CREDIT_ACTIVE_Active_count,0.0
BURO_CREDIT_ACTIVE_Active_mean,4.6
BURO_CREDIT_ACTIVE_Bad debt_count,0.0
BURO_CREDIT_ACTIVE_Bad debt_mean,0.0
BURO_CREDIT_ACTIVE_Closed_count,0.0
BURO_CREDIT_ACTIVE_Closed_mean,7.200000000000001
BURO_CREDIT_ACTIVE_Sold_count,0.0
BURO_CREDIT_ACTIVE_Sold_mean,3.4000000000000004
BURO_CREDIT_ACTIVE_nan_count,0.0
BURO_CREDIT_ACTIVE_nan_mean,0.0
BURO_CREDIT_CURRENCY_currency 1_count,0.0
BURO_CREDIT_CURRENCY_currency 1_mean,0.2
BURO_CREDIT_CURRENCY_currency 2_count,0.0
BURO_CREDIT_CURRENCY_currency 2_mean,0.0
BURO_CREDIT_CURRENCY_currency 3_count,0.0
BURO_CREDIT_CURRENCY_currency 3_mean,0.4
BURO_CREDIT_CURRENCY_currency 4_count,0.0
BURO_CREDIT_CURRENCY_currency 4_mean,0.0
BURO_CREDIT_CURRENCY_nan_count,0.0
BURO_CREDIT_CURRENCY_nan_mean,0.0
BURO_CREDIT_TYPE_Another type of loan_count,0.0
BURO_CREDIT_TYPE_Another type of loan_mean,0.0
BURO_CREDIT_TYPE_Car loan_count,0.0
BURO_CREDIT_TYPE_Car loan_mean,2.1999999999999997
BURO_CREDIT_TYPE_Cash loan (non-earmarked)_count,0.0
BURO_CREDIT_TYPE_Cash loan (non-earmarked)_mean,0.0
BURO_CREDIT_TYPE_Consumer credit_count,0.0
BURO_CREDIT_TYPE_Consumer credit_mean,2.6
BURO_CREDIT_TYPE_Credit card_count,0.0
BURO_CREDIT_TYPE_Credit card_mean,3.2
BURO_CREDIT_TYPE_Interbank credit_count,0.0
BURO_CREDIT_TYPE_Interbank credit_mean,0.0
BURO_CREDIT_TYPE_Loan for business development_count,0.0
BURO_CREDIT_TYPE_Loan for business development_mean,0.0
BURO_CREDIT_TYPE_Loan for purchase of shares (margin lending)_count,0.0
BURO_CREDIT_TYPE_Loan for purchase of shares (margin lending)_mean,0.0
BURO_CREDIT_TYPE_Loan for the purchase of equipment_count,0.0
BURO_CREDIT_TYPE_Loan for the purchase of equipment_mean,0.0
BURO_CREDIT_TYPE_Loan for working capital replenishment_count,0.0
BURO_CREDIT_TYPE_Loan for working capital replenishment_mean,0.4
BURO_CREDIT_TYPE_Microloan_count,0.0
BURO_CREDIT_TYPE_Microloan_mean,20.4
BURO_CREDIT_TYPE_Mobile operator loan_count,0.0
BURO_CREDIT_TYPE_Mobile operator loan_mean,0.0
BURO_CREDIT_TYPE_Mortgage_count,0.0
BURO_CREDIT_TYPE_Mortgage_mean,10.4
BURO_CREDIT_TYPE_Real estate loan_count,0.0
BURO_CREDIT_TYPE_Real estate loan_mean,0.0
BURO_CREDIT_TYPE_Unknown type of loan_count,0.0
BURO_CREDIT_TYPE_Unknown type of loan_mean,0.0
BURO_CREDIT_TYPE_nan_count,0.0
BURO_CREDIT_TYPE_nan_mean,0.0
PA_AMT_ANNUITY_mean,4.2
PA_AMT_ANNUITY_max,4.2
PA_AMT_ANNUITY_min,5.0
PA_AMT_ANNUITY_count,0.2
PA_AMT_ANNUITY_sum,1.0
PA_AMT_APPLICATION_mean,3.2
PA_AMT_APPLICATION_max,2.8
PA_AMT_APPLICATION_min,1.0
PA_AMT_APPLICATION_count,0.6000000000000001
PA_AMT_APPLICATION_sum,1.6
PA_AMT_CREDIT_mean,3.0
PA_AMT_CREDIT_max,2.0
PA_AMT_CREDIT_min,2.4
PA_AMT_CREDIT_count,0.0
PA_AMT_CREDIT_sum,1.2000000000000002
PA_AMT_DOWN_PAYMENT_mean,5.8
PA_AMT_DOWN_PAYMENT_max,9.200000000000001
PA_AMT_DOWN_PAYMENT_min,3.0
PA_AMT_DOWN_PAYMENT_count,0.8
PA_AMT_DOWN_PAYMENT_sum,12.200000000000001
PA_AMT_GOODS_PRICE_mean,2.4
PA_AMT_GOODS_PRICE_max,0.8
PA_AMT_GOODS_PRICE_min,4.0
PA_AMT_GOODS_PRICE_count,0.4
PA_AMT_GOODS_PRICE_sum,0.0
PA_HOUR_APPR_PROCESS_START_mean,9.600000000000001
PA_HOUR_APPR_PROCESS_START_max,5.6
PA_HOUR_APPR_PROCESS_START_min,2.6
PA_HOUR_APPR_PROCESS_START_count,0.0
PA_HOUR_APPR_PROCESS_START_sum,3.1999999999999997
PA_NFLAG_LAST_APPL_IN_DAY_mean,0.6000000000000001
PA_NFLAG_LAST_APPL_IN_DAY_max,0.0
PA_NFLAG_LAST_APPL_IN_DAY_min,0.0
PA_NFLAG_LAST_APPL_IN_DAY_count,0.0
PA_NFLAG_LAST_APPL_IN_DAY_sum,0.8
PA_RATE_DOWN_PAYMENT_mean,5.2
PA_RATE_DOWN_PAYMENT_max,6.0
PA_RATE_DOWN_PAYMENT_min,2.8
PA_RATE_DOWN_PAYMENT_count,0.0
PA_RATE_DOWN_PAYMENT_sum,3.1999999999999997
PA_RATE_INTEREST_PRIMARY_mean,0.0
PA_RATE_INTEREST_PRIMARY_max,0.0
PA_RATE_INTEREST_PRIMARY_min,0.4
PA_RATE_INTEREST_PRIMARY_count,0.0
PA_RATE_INTEREST_PRIMARY_sum,1.0
PA_RATE_INTEREST_PRIVILEGED_mean,0.0
PA_RATE_INTEREST_PRIVILEGED_max,0.0
PA_RATE_INTEREST_PRIVILEGED_min,0.2
PA_RATE_INTEREST_PRIVILEGED_count,0.0
